model,MASE-6750-scaled,CRPS-6750-scaled,Rank-6750-scaled,eval_metrics/MAE[0.5]-663-unscaled,CRPS-663-unscaled,Rank-663-unscaled
toto_2.0_2.5b,0.581,0.353,3.902,0.000,0.001,5.299
toto_2.0_1b,0.582,0.351,4.006,0.000,0.001,7.178
toto_2.0_313m,0.586,0.353,4.371,0.000,0.001,6.253
toto_2.0_22m,0.601,0.365,5.558,0.000,0.001,8.585
toto,0.617,0.375,6.926,0.001,0.025,14.449
toto_2.0_4m,0.624,0.378,7.175,0.000,0.001,5.940
chronos_2,0.641,0.392,7.367,0.000,0.002,12.306
timesfm_2_5_200m,0.632,0.382,7.680,0.000,0.001,8.477
moirai_1.1_base,0.710,0.428,10.375,0.000,0.003,12.443
moirai_1.1_large,0.720,0.436,10.727,0.001,0.005,13.780
moirai_1.1_small,0.729,0.442,11.228,0.000,0.006,14.267
moirai_2_small,0.672,0.427,11.273,0.001,0.002,12.931
timesfm_2_0_500m,0.725,0.447,11.900,0.014,0.091,17.913
chronos_bolt_base,0.726,0.451,12.321,0.003,0.019,15.487
chronos_bolt_small,0.733,0.455,12.725,0.003,0.022,15.621
autoarima,0.824,0.736,17.128,0.000,0.001,6.798
time_moe_50M,0.806,0.649,17.514,0.001,0.005,12.982
time_moe_200M,0.881,0.643,17.531,0.000,0.005,15.371
timer,0.796,0.639,17.581,0.001,0.005,11.457
visionts,0.988,0.673,18.721,0.001,0.009,16.575
autoets,0.842,1.975,19.349,0.000,0.030,13.398
autotheta,1.123,1.018,20.233,0.001,0.002,11.638
seasonalnaive,1.000,1.000,20.410,0.000,0.006,16.852
